Kode,Navn,Enhet,Kommentar,bauhaus,byggern,byggmakker,byggmax,byggtorget,elektroimportoren,fargerike,flisekompaniet,gausdal_landhandleri,industrivarer,jemogfix,jernia,maxbo,megaflis,monter,obs_bygg,staypro,torn,verktoy,xl_bygg
05216052_0600,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
05242710_0600,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
5365312,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
5688250,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
5690170,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
S0010375,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
2100002,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
2100005,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
2100020,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
2400103,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
54226124,Furu 34x145 altanrekke rund kl.1 altanrekker benyttes i hovedsak som på rekkverk til terrasser og leveres ulike profiler hvor de,stk,,,100.5,124,,108.97,,,,108,,,,109,,177,84.95,,,,117.65
54229257,Lekt 30x48mm impregnert NTR-AB Kl.1,stk,,,15.9,17.2,15.85,16.31,,,,,,,,16.9,,31.8,16.25,,,,16.9
54229344,Lekt 48x48mm ubehandlet Kl.1,stk,,,21.9,21.4,19.85,20.44,,,,19.6,,,,21.9,,21.4,21.45,,,,21.9
54229416,Gran 23x098 forskaling justert Eidskog Stangeskovene,stk,,19.9,24,27.6,,18.06,,,,17.7,,,,23.9,,28.1,24.95,,,,19.19
54229503,Terrassebord 21x95mm oljet furu impregnert NTR-AB Kl.1,meter,,,16.9,19.9,,17.38,,,,15.9,,,,17.9,,11.9,12.25,,,,17.9
54229594,"Konstruksjonsvirke 48x148mm 7,0m C24 ubehandlet fingerskjøt",meter,,,49.9,52.9,46.5,52.9,,,,49.9,,,,48.9,,84.3,47.65,,,,49.9
54229613,Terrassebord 28x95mm furu impregnert NTR-AB Kl.1,meter,,,23.9,29.9,,22.24,,,,,,,,25.9,,23.5,24.25,,,,27.22
54230536,Lekt 36x68mm ubehandlet Kl.1,stk,,,27.9,30.9,,23.86,,,,22.4,,,,28.9,,30,25.25,,,,25.25
54262933,Konstruksjonsvirke 48x98mm C24 ubehandlet,stk,,,29.9,31.4,26.15,30.98,,,,29.9,,,,28.9,,31.1,26.85,,,,30.25
28167070,Hey'di slemming murgrå 15kg heydi,stk,,439,519,459,,516.74,,,,,,,,449,,515,,,,,540.95
08100003K,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
08100003KB,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
22590251,Kamstål ø10 coil b500nc armstål til betongkonstr EAS,meter,,,,,,,,,,,,,,,,,,,,,
22590269,Kamstål ø12 coil b500nc armstål til betongkonstr EAS,meter,,,,,,,,,,,,,,,,,,,,,
24519738,Kamstål i stang ø12 l= 6m celsa Celsa Steel,stk,,,135.68,163.25,,135.19,,,,119,,,,159,,172.25,154.62,,,,148.58
24519894,Armeringsnett b500na k 131 2000x5000mm Norsk Stål,stk,,,525.84,690.9,,592.78,,,,489,,,,669,,787.5,,,,,667.59
24519902,"Armeringsnett k131s 1,2x2,4m b500a EAS",stk,,,171.4,259,,172.8,,,,159,,,,219,,,,,,,175.23
24519910,Armeringsnett b500na k 189 2000x5000mm Norsk Stål,stk,,,776.74,1149,,843.9,,,,709,,,,1149,,1470.74,,,,,932.44
24519928,Armeringsnett k257 2x5m b500a til betongkonstr kvadra EAS,stk,,,1054.52,1386.53,,1148.49,,,,959,,,,,,1996.7,1399,,750,,1294.24
26182154,Kryssfinérplate 12mm 120x240cm fuktig miljø BB/CC ubehandlet poppel rett kant,stk,,,742.02,837.98,,706.67,,,,579,,,,699,,,,,,,710.58
30716435,Kryssfinérplate 12mm 120x240cm eksteriør BB/CC ubehandlet poppel rett kant,stk,,,669,826.66,,894.98,,,,,,,,,,1704.56,,,,,759
52867432,Kryssfinérplate forskaling 15mm 75x150cm eksteriør oljet blandet bartre rett kant,stk,,,301.28,399.04,,325.81,,,,,,,,,,,,,,,326.9
24410573,Vindtett trefiberplate 12x1200x2740 Hunton vindsperre 95 pak 95stk,stk,,,399.3,314,,329,,,,309,,,,319,,315.15,299,,,,346.55
48144002,Tape vindsperre tyvek 75 Isola,stk,,,819,659,,638.75,,,,609,,,,669,,657,,,,,710.53
21220785,Vinkelbeslag 90 uten r ean Simpson Strong-Tie,stk,,,9.9,,,10.32,,,,,,,,,,12.9,10.9,,,,13.13
41467671,"Beslagskrue 5,0x35mm 250stk Simpson Strong-Tie",stk,,,379,,,,,,,,,,,,,229,,,,,230.7
43844992,"Terrasseskrue classic 4,5x55 250stk ESSVE",stk,,229,99,169,,153.03,,,,,,,,,,209,,229,,194,163.03
45837763,"Terrasseskruer max3 utvendig 4,8x55 rustfri ESSVE",stk,,,298,609,,,,,,,,,,,,799,,,,,439.25
45837778,"Terrasseskrue max3 4,8x70 rustfri 250stk ESSVE",stk,,,959,819,,469,,,,,,,,,,,,,,,
54096166,Treskrue ESSDRIVE senkhode 5x80 cs 100stk essve,stk,,219,209,199,,197.3,,,,199,195,,,,,305,,,,,214.68
54096174,Treskrue ESSDRIVE corrseal senkhode 5x90 essve 100stk,stk,,229,259,259,,233.09,,,,229,199,,,,,299,,,,,253.3
